Disease,Description,Diet,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Workouts,Medication
Injury to the arm,"Injury to the arm refers to damage to muscles, bones, ligaments, or skin in the arm area from trauma, leading to pain, swelling, bruising, or limited movement.","['Protein-rich foods (chicken, eggs, legumes)', 'Vitamin C-rich foods (citrus fruits, strawberries)', 'Zinc sources (beef, pumpkin seeds)', 'Hydration', 'Anti-inflammatory foods (turmeric, ginger)']",Immobilize the arm,Apply cold compress,Elevate the arm,Seek medical care if swelling,"[""Physical therapy: Guided recovery exercises"", ""Range-of-motion drills: Regain flexibility"", ""Isometric strengthening: Build muscles without movement"", ""Avoid overuse: Prioritize rest and pacing""]","['Pain relievers (e.g., Acetaminophen)', 'Cold compress', 'Immobilization/splinting', 'Antibiotics (if open wound)', 'Physical therapy']"
Complex regional pain syndrome,"Complex regional pain syndrome (CRPS) is a chronic pain condition usually affecting a limb after injury, with symptoms including burning pain, swelling, and sensitivity to touch.","['Anti-inflammatory foods (turmeric, berries, leafy greens)', 'Omega-3 fatty acids (salmon, walnuts)', 'Magnesium-rich foods (spinach, almonds)', 'Vitamin D-rich foods (fortified milk, egg yolks)', 'Avoid processed sugars and alcohol']",Follow physical therapy,Manage stress,Take prescribed medication,Avoid injury to the affected limb,"[""Gentle stretching: Prevent contractures"", ""Desensitization exercises: Rebuild nerve tolerance"", ""Mirror therapy: Improve brain-muscle coordination"", ""Aqua therapy: Low-pain water exercises""]","['Gabapentin', 'Amitriptyline', 'Physical therapy', 'Corticosteroids', 'Nerve blocks']"
Injury to the trunk,"Injury to the trunk includes trauma to the chest, abdomen, or back areas, possibly involving internal organs, muscles, or bones, and can range from minor bruises to serious internal damage.","['High-protein foods (tofu, lean meats)', 'Vitamin C-rich foods (bell peppers, kiwi)', 'Zinc sources (shellfish, nuts)', 'Hydration', 'Anti-inflammatory spices (ginger, turmeric)']",Apply ice or heat,Rest adequately,Use support belts if advised,Avoid strenuous activity,"[""Core stability workouts: Strengthen abdomen/back"", ""Breathing exercises: Ease pain and tension"", ""Walking: Gentle activity for circulation"", ""Avoid twisting movements: Reduce risk of re-injury""]","['Pain relievers (e.g., Ibuprofen)', 'Ice/heat therapy', 'Muscle relaxants', 'Wound care (if external)', 'Physiotherapy']"
Vulvodynia,"Vulvodynia is chronic pain or discomfort around the opening of the vagina (vulva) with no identifiable cause, often described as burning, stinging, or irritation.","['Anti-inflammatory foods (blueberries, leafy greens)', 'Probiotics (yogurt, kimchi)', 'Omega-3 fatty acids (flaxseeds, salmon)', 'Vitamin E-rich foods (nuts, seeds)', 'Avoid irritants and processed foods']",Wear loose cotton clothing,Avoid scented products,Use prescribed creams,Manage stress levels,"[""Pelvic floor relaxation: Avoid tightness"", ""Gentle yoga: Reduce pelvic pain"", ""Breathing techniques: Help with stress-linked flares"", ""Avoid bike riding: Prevent pressure on sensitive area""]","['Topical Lidocaine', 'Tricyclic antidepressants (e.g., Amitriptyline)', 'Gabapentin', 'Physical therapy', 'Cognitive behavioral therapy']"
Concussion,"A concussion is a mild traumatic brain injury caused by a blow to the head or body, resulting in temporary loss of brain function, such as confusion, memory loss, or dizziness.","['Omega-3 fatty acids (chia seeds, salmon)', 'Antioxidant-rich foods (blueberries, dark chocolate)', 'Protein-rich foods (eggs, chicken)', 'Hydration', 'B vitamins (whole grains, leafy greens)']",Rest and avoid screens,Avoid physical activity,Monitor symptoms,Follow up with neurologist,"[""Rest: Most important early step"", ""Gentle stretching: After symptoms improve"", ""Walking: Light activity to reintroduce movement"", ""Avoid screens and bright lights: Limit visual strain""]","['Rest', 'Acetaminophen (avoid NSAIDs early)', 'Cognitive rest', 'Hydration', 'Gradual return to activities']"
Hypoglycemia,"Hypoglycemia is a condition characterized by abnormally low blood sugar levels, often causing shakiness, sweating, confusion, irritability, or fainting, common in diabetics on insulin.","['Complex carbohydrates (whole grains, legumes)', 'Protein with every meal (eggs, nuts)', 'Avoid sugary snacks', 'Frequent small meals', 'Fiber-rich foods (vegetables, fruits)']",Eat small frequent meals,Carry glucose tablets,Avoid skipping meals,Monitor blood sugar levels,"[""Walking: Helps stabilize blood sugar"", ""Strength training: Builds muscle mass to support glucose use"", ""Avoid fasted workouts: Always eat before"", ""Frequent breaks: Monitor sugar levels during activity""]","['Glucose tablets', 'Juice or sugary snacks', 'Glucagon injection (emergency)', 'Adjust insulin or diabetes medication', 'Frequent meals']"
Hiatal hernia,"A hiatal hernia occurs when the upper part of the stomach pushes through the diaphragm into the chest cavity, often causing symptoms like heartburn, reflux, and chest pain.","['Small, frequent meals', 'Avoid spicy foods and caffeine', 'High-fiber foods (oats, vegetables)', 'Lean proteins (chicken, fish)', 'Avoid fatty and fried foods']",Eat small frequent meals,Avoid lying down after eating,Avoid spicy food,Maintain healthy weight,"[""Avoid crunches: Prevent abdominal pressure"", ""Gentle walking or cycling: Support digestion"", ""Breathing exercises: Improve diaphragm control"", ""Upright posture: During and after exercise""]","['Antacids', 'Proton Pump Inhibitors (e.g., Omeprazole)', 'H2 Blockers (e.g., Ranitidine)', 'Prokinetic agents', 'Surgery (in severe cases)']"
Allergy,"An allergy is an overreaction of the immune system to substances like pollen, food, or medications, causing symptoms like sneezing, itching, rash, or anaphylaxis.","['Elimination diet (avoid allergen foods)', 'Omega-3 fatty acids (salmon, flaxseeds)', 'Vitamin C-rich foods (oranges, bell peppers)', 'Quercetin-rich foods (apples, onions)', 'Probiotics (yogurt, kefir)']",Apply calamine,Cover area with bandage,Use ice to compress itching,Avoid known allergens,"[""Indoor workouts: Avoid pollen and triggers"", ""Yoga: Calms body and immune system"", ""Swimming in clean pools: Clears airways"", ""Avoid exercising in high pollution: Protect respiratory health""]","['Antihistamines (e.g., Loratadine)', 'Decongestants (e.g., Pseudoephedrine)', 'Epinephrine auto-injectors', 'Corticosteroids', 'Immunotherapy (allergy shots)']"
Acute bronchospasm,"Acute bronchospasm is a sudden constriction of the muscles in the walls of the bronchioles, often triggered by asthma or allergens, causing wheezing and difficulty breathing.","['Anti-inflammatory foods (ginger, turmeric)', 'Omega-3 fatty acids (wild salmon, chia seeds)', 'Vitamin C-rich foods (citrus fruits)', 'Hydration', 'Avoid dairy if mucus increases']",Avoid cold air,Use bronchodilator inhaler,Avoid allergens,Monitor breathing patterns,"[""Rest until stable: Avoid exertion during flare-ups"", ""Breathing exercises: Strengthen respiratory muscles"", ""Gentle stretching: Promote oxygen flow"", ""Indoor walking: In controlled environments""]","['Short-acting beta-agonists (e.g., Albuterol)', 'Anticholinergics', 'Systemic corticosteroids', 'Oxygen therapy', 'Magnesium sulfate (in severe cases)']"
Degenerative disc disease,"Degenerative disc disease is a condition where spinal discs break down over time, leading to back pain, reduced flexibility, and sometimes nerve compression.","['Calcium-rich foods (milk, cheese)', 'Vitamin D-rich foods (fatty fish, egg yolk)', 'Anti-inflammatory foods (berries, leafy greens)', 'Magnesium sources (pumpkin seeds, almonds)', 'Protein-rich foods (chicken, legumes)']",Maintain healthy weight,Avoid lifting heavy items,Engage in back exercises,Use lumbar support,"[""Back stretches: Increase flexibility"", ""Core strengthening: Reduce spinal pressure"", ""Low-impact aerobics: Walking or elliptical"", ""Avoid heavy lifting: Prevent worsening symptoms""]","['NSAIDs', 'Physical therapy', 'Muscle relaxants', 'Steroid injections', 'Surgery (e.g., spinal fusion in advanced cases)']"
Pain after an operation,"Pain after an operation (postoperative pain) is discomfort or soreness at the surgical site, which may be due to tissue injury, inflammation, or healing processes.","['High-protein foods (eggs, fish)', 'Vitamin C-rich foods (kiwi, strawberries)', 'Zinc-rich foods (beef, nuts)', 'Anti-inflammatory foods (turmeric, ginger)', 'Hydration']",Take pain meds as prescribed,Avoid physical strain,Keep surgical area clean,Attend follow-up appointments,"[""Guided physiotherapy: Safe recovery progression"", ""Deep breathing: Prevent lung complications post-surgery"", ""Slow walking: Improves circulation"", ""Avoid high-intensity activity: Allow full healing""]","['Acetaminophen', 'Opioids (e.g., Morphine, Tramadol)', 'NSAIDs', 'Local anesthetics', 'Nerve blocks']"
Injury to the leg,"Injury to the leg includes trauma to any part of the leg such as the thigh, knee, shin, or ankle, potentially involving muscles, bones, or ligaments.","['Protein-rich foods (lean meats, beans)', 'Vitamin C-rich foods (oranges, strawberries)', 'Zinc-rich foods (shellfish, pumpkin seeds)', 'Anti-inflammatory spices (ginger, turmeric)', 'Hydration']",Elevate the leg,Apply ice packs,Avoid putting weight,Use crutches if advised,"[""Non-weight-bearing exercises: Like swimming or seated stretches"", ""Range-of-motion: Prevent stiffness"", ""Strength training: After healing starts"", ""Balance exercises: Reduce fall risk later""]","['Pain relievers', 'Compression bandages', 'Crutches or brace', 'Physical therapy', 'Antibiotics (if open wound)']"
Gout,"Gout is a form of inflammatory arthritis caused by buildup of uric acid crystals in joints, leading to sudden, severe pain, redness, and swelling, often in the big toe.","['Low-purine foods (vegetables, whole grains)', 'Cherries and berries', 'Hydration', 'Limit red meat and seafood', 'Avoid alcohol and sugary drinks']",Avoid purine-rich food,Stay hydrated,Limit alcohol intake,Take medication as prescribed,"[""Low-impact exercises: Like cycling or swimming"", ""Joint mobility drills: Keep joints flexible"", ""Avoid intense weight-bearing: During flare-ups"", ""Stretching: Reduce stiffness in affected areas""]","['Colchicine', 'NSAIDs (e.g., Indomethacin)', 'Allopurinol', 'Febuxostat', 'Corticosteroids']"
Otitis media,"Otitis media is a middle ear infection that commonly affects children, causing ear pain, fever, irritability, and sometimes fluid discharge from the ear.","['Hydrating fluids (water, herbal teas)', 'Vitamin C-rich foods (citrus fruits)', 'Probiotics (yogurt, kefir)', 'Avoid dairy if it increases mucus', 'Anti-inflammatory foods (ginger, turmeric)']",Avoid water entering ears,Take antibiotics as prescribed,Use warm compress,Follow up with ENT specialist,"[""Rest: Especially during acute phase"", ""Avoid swimming: Prevent water exposure to ears"", ""Light walking: If energy permits"", ""Neck stretches: Relieve ear canal pressure""]","['Amoxicillin', 'Cefdinir', 'Acetaminophen for pain', 'Decongestants', 'Tympanostomy (if recurrent)']"
Acute kidney injury,"Acute kidney injury (AKI) is a sudden loss of kidney function due to illness, injury, or toxins, leading to buildup of waste products in the blood.","['Low-protein diet (consult doctor)', 'Limit sodium (avoid processed foods)', 'Potassium regulation (bananas, potatoes – based on medical advice)', 'Hydration monitoring', 'Avoid high-phosphorus foods (dairy, nuts)']",Avoid NSAIDs,Stay hydrated,Monitor fluid intake,Follow renal diet plan,"[""Gentle activity: Like walking during recovery"", ""Avoid dehydration: Prioritize fluids with workouts"", ""Strength training: Only when kidney function stabilizes"", ""Workouts under supervision: Monitor vital signs""]","['IV fluids', 'Diuretics (e.g., Furosemide)', 'Electrolyte management', 'Discontinue nephrotoxic drugs', 'Dialysis (if severe)']"
Threatened pregnancy,"A threatened pregnancy refers to early pregnancy complications, such as vaginal bleeding or cramping, that may suggest a risk of miscarriage but with a still viable fetus.","['Folic acid-rich foods (leafy greens, beans)', 'Iron-rich foods (red meat, lentils)', 'Hydration', 'Balanced diet with protein (chicken, fish)', 'Avoid alcohol, caffeine, and high-mercury fish']",Take prescribed medications,Avoid stress and lifting heavy items,Get regular checkups,Rest as recommended,"[""Modified bed rest: Based on doctor's advice"", ""Breathing exercises: Reduce anxiety"", ""Pelvic floor (Kegel) exercises: Safe for pelvic support"", ""Avoid high-impact workouts: Prevent complications""]","['Progesterone supplements', 'Folic acid', 'Bed rest (limited use)', 'IV fluids (if dehydrated)', 'Close monitoring with ultrasound']"
Gum disease,"Gum disease (periodontal disease) is an infection and inflammation of the gums and surrounding tissues, often caused by poor oral hygiene, leading to bleeding, receding gums, and tooth loss.","['Vitamin C-rich foods (citrus fruits, strawberries)', 'Calcium-rich foods (milk, yogurt)', 'Green tea', 'Avoid sugary and sticky foods', 'Omega-3 fatty acids (walnuts, flaxseeds)']",Maintain oral hygiene,Floss daily,Avoid smoking,Visit dentist regularly,"[""Oral hygiene focus: Brush and floss regularly"", ""Avoid sugary sports drinks: Prevent bacterial growth"", ""Stay hydrated: Supports gum health"", ""No specific physical activity restriction: Follow general wellness plan""]","['Antibacterial mouthwash (e.g., Chlorhexidine)', 'Scaling and root planing', 'Doxycycline', 'Fluoride toothpaste', 'Surgical interventions (if severe)']"
Gastrointestinal hemorrhage,"Gastrointestinal hemorrhage is bleeding that occurs anywhere along the digestive tract, often presenting as vomiting blood or black, tarry stools, and can be caused by ulcers, varices, or cancer.","['Avoid spicy and acidic foods', 'Bland diet (bananas, rice, applesauce)', 'Hydration', 'Iron-rich foods post bleeding (spinach, beans)', 'Avoid alcohol and NSAIDs']",Avoid NSAIDs,Eat a soft bland diet,Limit alcohol,Follow up with GI specialist,"[""Rest: Avoid strenuous activity during active bleeding"", ""Breathing exercises: Manage stress on the digestive system"", ""Gentle walking: Only after stabilization"", ""Avoid abdominal strain: Prevent re-bleeding""]","['IV proton pump inhibitors (e.g., Pantoprazole)', 'Endoscopic hemostasis', 'Blood transfusion', 'Octreotide (for variceal bleeding)', 'Antibiotics (e.g., Ceftriaxone) if cirrhosis present']"
Anxiety,"Anxiety is a mental health condition characterized by excessive worry, nervousness, or fear that interferes with daily activities, often accompanied by physical symptoms like restlessness, sweating, or rapid heartbeat.","['Magnesium-rich foods (nuts, seeds)', 'Omega-3 fatty acids (salmon, chia seeds)', 'Vitamin B-complex foods (whole grains, eggs)', 'Probiotics (kimchi, yogurt)', 'Limit caffeine and sugar']",Practice relaxation techniques,Avoid stimulants like caffeine,Maintain regular sleep,Seek counseling if needed,"[""Yoga: Combines movement and mindfulness"", ""Breathing exercises: Control physiological symptoms"", ""Walking in nature: Calms the mind"", ""Tai chi: Improve mental and emotional balance""]","['SSRIs (e.g., Escitalopram)', 'SNRIs (e.g., Duloxetine)', 'Benzodiazepines (short-term use)', 'Buspirone', 'Cognitive Behavioral Therapy (CBT)']"
Conjunctivitis due to allergy,"Allergic conjunctivitis is inflammation of the conjunctiva (eye lining) caused by allergens like pollen or dust, leading to red, itchy, watery eyes without infectious discharge.","['Antihistamine-rich foods (quercetin in apples, onions)', 'Omega-3 fatty acids (salmon, flaxseeds)', 'Vitamin C-rich foods (citrus)', 'Hydration', 'Avoid allergens']",Avoid rubbing eyes,Use antihistamine drops,Keep environment clean,Avoid known allergens,"[""Indoor exercises: Avoid allergens like pollen"", ""Gentle yoga: Avoid face touching"", ""Stretching: Avoid eye strain"", ""Avoid swimming: Prevent eye irritation""]","['Antihistamine eye drops (e.g., Olopatadine)', 'Mast cell stabilizers (e.g., Ketotifen)', 'Artificial tears', 'Oral antihistamines', 'Cold compress']"
Drug reaction,"A drug reaction is an adverse response to a medication, ranging from mild rashes or stomach upset to severe allergic responses like Stevens-Johnson syndrome or anaphylaxis.","['Balanced diet with antioxidants (berries, leafy greens)', 'Hydration', 'Avoid processed and allergenic foods', 'Vitamin C and E-rich foods (nuts, seeds, citrus)', 'Consult doctor for specific restrictions']",Stop the drug immediately,Consult a doctor,Use antihistamines if prescribed,Monitor for worsening symptoms,"[""Rest: While recovering from adverse reactions"", ""Low-intensity movement: Once stabilized"", ""Breathing exercises: Calm stress responses"", ""Avoid sun exposure: If on photosensitive medications""]","['Discontinuation of offending drug', 'Antihistamines (e.g., Diphenhydramine)', 'Corticosteroids', 'Epinephrine (for anaphylaxis)', 'IV fluids and supportive care']"
Macular degeneration,"Macular degeneration is an eye disorder that damages the macula, the part of the retina responsible for central vision, leading to blurred or loss of central vision, typically in older adults.","['Vitamin A-rich foods (carrots, sweet potatoes)', 'Lutein and zeaxanthin foods (spinach, kale)', 'Omega-3 fatty acids (fish, walnuts)', 'Zinc-rich foods (pumpkin seeds, beef)', 'Antioxidant-rich foods (blueberries, citrus)']",Wear sunglasses,Eat leafy greens,Avoid smoking,Regular eye checkups,"[""Balance training: Prevent falls due to vision changes"", ""Walking: Improves circulation and eye health"", ""Indoor cycling: Safe with limited vision"", ""Avoid fast-paced movements: Prevent injuries""]","['Anti-VEGF injections (e.g., Ranibizumab, Aflibercept)', 'AREDS2 vitamin supplements', 'Photodynamic therapy', 'Laser therapy (rarely)', 'Low vision aids']"
Pneumonia,"Pneumonia is an infection of the lungs caused by bacteria, viruses, or fungi, resulting in cough, fever, chest pain, and difficulty breathing due to inflammation and fluid in the lungs.","['Hydrating fluids (water, herbal teas)', 'Protein-rich foods (chicken, beans)', 'Vitamin C-rich foods (oranges, broccoli)', 'Avoid dairy if mucus worsens', 'Anti-inflammatory foods (turmeric, ginger)']",Take full course of antibiotics,Avoid smoking,Rest adequately,Stay hydrated,"[""Rest: Critical during acute infection"", ""Breathing exercises: Improve lung expansion"", ""Gentle walking: After fever subsides"", ""Gradual reintroduction to physical activity: To build endurance""]","['Antibiotics (e.g., Azithromycin, Ceftriaxone)', 'Antivirals (e.g., Oseltamivir if viral)', 'Expectorants', 'Fever reducers (e.g., Acetaminophen)', 'Oxygen therapy if needed']"
Vaginal cyst,"A vaginal cyst is a fluid-filled sac that forms along the vaginal wall, often benign and asymptomatic, but can sometimes cause discomfort or pain if enlarged or infected.","['Probiotics (yogurt, kefir)', 'Anti-inflammatory foods (berries, leafy greens)', 'Hydration', 'Avoid irritants and processed foods', 'Omega-3 fatty acids (salmon, flaxseeds)']",Maintain genital hygiene,Avoid tight clothing,Do warm sitz baths,Follow doctor’s advice,"[""Pelvic floor exercises: Support area and reduce discomfort"", ""Avoid high-impact sports: Prevent irritation"", ""Walking: Safe and light activity"", ""Breathing exercises: Promote general relaxation""]","['Warm compress', 'Sitz bath', 'Antibiotics (if infected)', 'Surgical drainage (if large or recurrent)', 'Analgesics for pain']"
